2019-06-17T09:48:30.644	temp=30	
2019-06-17T09:48:37.440	temp=30	air=123	
2019-06-17T13:35:30.459	temp=32	air=123	
2019-06-17T13:37:45.688	temp=32	air=123	
2019-06-17T13:38:39.256	temp=32	air=123	
2019-06-17T13:40:45.235	temp=32	air=123	
2019-06-17T13:40:49.456	temp=32	air=123	
2019-06-17T13:40:50.941	temp=32	air=123	
2019-06-17T13:40:52.208	temp=32	air=123	
2019-06-17T13:46:56.395	temp=32	air=123	
2019-06-17T13:46:58.844	temp=32	air=123	
2019-06-17T13:48:06.874	temp=32	air=123	
2019-06-17T13:48:08.056	temp=32	air=123	
2019-06-17T13:48:47.745	temp=32	air=123	
2019-06-17T13:48:49.511	temp=32	air=123	
2019-06-17T13:48:50.504	temp=32	air=123	
2019-06-17T13:48:51.283	temp=32	air=123	
2019-06-17T16:24:04.409	temp=32	air=123	
2019-06-17T16:47:03.705	temp=32	air=123	
2019-06-17T16:47:04.780	temp=32	air=123	
2019-06-17T18:56:40.295	temp=32	air=123	
2019-06-17T19:01:04.599	temp=32	air=123	
2019-06-17T19:02:05.666	temp=123	air=12	
2019-06-17T19:02:45.905	temp=123	air=124	
2019-06-17T19:08:35.410	temp=123	air=1246	
2019-06-17T19:08:39.843	temp=123	air=124.99	
2019-06-17T19:08:44.777	temp=123.67	air=124.99	
2019-06-17T19:08:48.649	temp=123.67	air=124.995	
2019-06-17T19:08:54.180	temp=123.67	air=14.995	
2019-06-17T19:41:51.998	temp=32	air=123	
2019-06-17T19:41:57.407	temp=32	air=123423	
2019-06-17T20:20:27.415	temp=123	air=12.32	
2019-06-17T20:25:00.991	temp=123	air=12.321323	
2019-06-17T20:28:38.929	temp=123	air=123	
2019-06-17T20:28:42.169	temp=123	air=123213	
